Scale,Category,Rights_Holder,Contact_Email_or_Form,Official_URL,Current_Use_In_App,Needs_Full_Item_Text,Commercial_App_Use,Redistribution_Allowed,Attribution_Required,Fee_Required,Approval_Evidence,Requested_On,Follow_Up_On,Decision_Date,Renewal_Date,Status,Notes
PHQ-9,Depression,Pfizer Inc. via PHQ Screeners,https://www.phqscreeners.com/select-screener,TBD,Yes,Yes,Verification required,Verification required,Likely yes,Likely no,TBD,,,,,Researching,Use PHQ Screeners licensing contact workflow for app redistribution approval.
GAD-7,Anxiety,Pfizer Inc. via PHQ Screeners,https://www.phqscreeners.com/select-screener,TBD,Yes,Yes,Verification required,Verification required,Likely yes,Likely no,TBD,,,,,Researching,Often distributed with PHQ family terms; confirm commercial app rights.
HAM-D,Depression,Authors or publisher distribution partner,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Identify active licensing administrator before rollout.
BPRS,Psychosis,Authors or licensing administrator,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Confirm rights for digital redistribution in commercial software.
YMRS,Bipolar/Mania,Authors or licensing administrator,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Need formal permission source before full-text publication.
Y-BOCS,OCD,Authors or licensing administrator,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Confirm rights for full item text and scoring in app.
MMSE,Cognitive,PAR or authorized MMSE rights manager,https://www.parinc.com/Products/Pkey/237,TBD,Yes,Yes,Verification required,Verification required,Yes,Likely yes,TBD,,,,,Researching,Typically licensed with stricter commercial terms.
C-SSRS,Suicide Risk,Columbia Lighthouse Project,https://cssrs.columbia.edu/contact/,https://cssrs.columbia.edu/,Yes,Yes,Verification required,Verification required,Likely yes,TBD,TBD,,,,,Researching,Also confirm whether training/certification is required.
HADS,Anxiety/Depression,Likely rights via GL Assessment or appointed distributor,https://www.gl-assessment.co.uk/contact-us/,https://www.gl-assessment.co.uk/,Yes,Yes,Verification required,Verification required,Likely yes,Likely yes,TBD,,,,,Researching,Keep placeholder wording until written approval.
MDQ,Bipolar Screen,Authors or screening program administrator,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Currently placeholder wording in app.
COWS,Withdrawal,Original authors Wesson and Ling or clinical publication steward,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Confirm if public-domain style use is allowed in commercial app context.
EPDS,Perinatal,EPDS rights contacts and translations office,https://www.fresno.ucsf.edu/pediatrics/downloads/edinburghscale.pdf,https://www.fresno.ucsf.edu/pediatrics/downloads/edinburghscale.pdf,Yes,Yes,Verification required,Verification required,Likely yes,TBD,TBD,,,,,Researching,Confirm official licensing route and translation permissions.
GDS-15,Geriatric,Original authors and institutional maintainers,TBD,TBD,Yes,Yes,Verification required,Verification required,TBD,TBD,TBD,,,,,Researching,Confirm rights for full digital redistribution.
PANSS,Psychosis,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,High likelihood of stricter licensing.
SAPS/SANS,Psychosis,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Confirm per-scale rights holder and terms.
AIMS,Movement Disorders,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Check if training requirements apply.
ORT,Addiction Risk,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Confirm commercial deployment rights.
MADRS,Depression,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Check instrument licensing for software products.
BDI,Depression,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Often commercial; verify contract requirements.
HAM-A,Anxiety,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Verify rights and attribution requirements.
ASRM,Bipolar/Mania,TBD,TBD,TBD,Planned,Yes,TBD,TBD,TBD,TBD,TBD,,,,,Backlog,Confirm allowed implementation model.
